password1,password2,password3
sunflareBicycle23!,Bicycle23_sunflare,Sun!flare_2323
coffeeMINT42,42coffeeM!nt,m!ntCoffee_4202
Roadtrip!2020,2020!RoadTrip,Road_Trip!2k20
OceanView#8,ViewOcean8#,OcnVw#008
jazzHands99,HandsJazz_1999,J@zz99Hands
RedvelvetCake!,Cake.RedVelvet!,RedCakeV!1988
horizon.loop7,7loop_horizon,loop7.Hor!zon
myDogRex2021,Rex!2021_myDog,2021_RexDog!
GreenLamp#7,LampGreen7#,Green#Lamp007
pixel_pineapple3,pineapple_pixel_03,PiNe@pple3x
winter-socks!,socksWinter!,W!nterSock_2022
collegeGrad2015,Grad2015-college,coll3ge_Grad!15
blue-moon#99,moonBlue99#,99#Blue-M00n
tangoFOXTROT!,FOXTROT_tango1!,t@ng0-F0xtr0t
pizza.delivery777,delivery777.pizza,77pizzaDeliver!7
bookShelf!7,Shelf7Book!,B00k_Shelf#2007
neon7^staple,stapleNeon^7,NeonStaple!007
maple_Syrup55,SyrupMaple_1955,Mapl3$yrup#55
dawn-sparrow8,SparrowDawn8,dawn8_Sparr0w!
vintageRadio#1969,Radio1969_vintage,1969_vint@geRadio!
